,episode_id,number,timestamp_in_ms,raw_character_text,raw_location_text,spoken_words
47270,203,1,58000,Homer Simpson,Simpson Home,"Look, honey, I clipped on my tie all by myself."
47271,203,2,62000,Marge Simpson,Simpson Home,And look as handsome as the day we were married.
47272,203,3,65000,Homer Simpson,Simpson Home,"Oh, Happy Anniversary, Marge."
47273,203,4,70000,Homer Simpson,Simpson Home,"Hey, look what was in here. A program from that guy's funeral."
47274,203,5,75000,Marge Simpson,Simpson Home,You mean Frank Grimes?
47275,203,6,76000,Homer Simpson,Simpson Home,"Yeah, him. Whatever happened to that guy?"
47276,203,7,83000,Marge Simpson,Simpson Home,What are you doing?!
47277,203,8,84000,Lisa Simpson,Simpson Home,Playin' Hot Wheels.
47278,203,9,85000,Bart Simpson,Simpson Home,Ow! That had a guide pin in it.
47279,203,10,88000,Marge Simpson,Simpson Home,What happened to Grampa? He was supposed to baby-sit.
47281,203,12,91000,Grampa Simpson,Flanders Home,"Now you've got her, Bart. Jump Lisa's king."
47282,203,13,95000,Rod Flanders,Flanders Home,"I'm not Bart, I'm Rod Flanders."
47283,203,14,98000,Grampa Simpson,Flanders Home,"There you go with that smart mouth. Lisa, run outside and cut me a switch."
47284,203,15,103000,Todd Flanders,Flanders Home,"Yes, sir."
47286,203,17,105000,Marge Simpson,Simpson Home,"Hm, I guess we'll have to take the kids with us to dinner."
47287,203,18,108000,Lisa Simpson,Simpson Home,Yayyy!
47288,203,19,109000,Homer Simpson,Simpson Home,"But Marge, the Gilded Truffle is an intimate, elegant place."
47289,203,20,114000,Bart Simpson,Simpson Home,Bo-ring. I'll take you to a place that's really romantic.
47292,203,23,122000,Lisa Simpson,Restaurant,"Happy Anniversary, Mom and Dad!"
47295,203,26,132000,Pilot,Restaurant,"Okay folks, this is your pilot speaking. If you'll look to the left side of the aircraft, you'll see Homer and Marge Sampson, who are celebrating with us today their eleventh air-niversary. Sooo hang on while we dip our wings to this happy couple."
47296,203,27,152000,Various Kids,Restaurant,Yayyy! / Whoa! More! / Do it again! Do it again!
47297,203,28,152000,Pilot,Restaurant,"Hey, Jose, easy up, huh?"
47298,203,29,154000,Attendant,Restaurant,Sorry. We were only hired to park cars.
47299,203,30,158000,Lisa Simpson,Restaurant,Wow! This is the best anniversary ever.
47301,203,32,176000,Marge Simpson,Simpson Home,"Well, maybe our next anniversary will be more romantic."
47302,203,33,181000,Marge Simpson,Simpson Home,"Ohhh, look, Homie. Our wedding cake."
47303,203,34,185000,Homer Simpson,Simpson Home,You mean there's been cake in our freezer for eleven years? Why was I not informed?
