,episode_id,number,timestamp_in_ms,raw_character_text,raw_location_text,spoken_words
36234,163,1,87000,Leonard Nimoy,Darkened Room,"Hello, I'm Leonard Nimoy. The following tale of alien encounters is true. And by true, I mean false. It's all lies. But they're entertaining lies. And in the end, isn't that the real truth? The answer is no."
36235,163,2,101000,Leonard Nimoy,Darkened Room,Our story begins on a Friday morning in a little town called Springfield.
36237,163,4,110000,Homer Simpson,Springfield Nuclear Power Plant,"TGIF! Guys, I'm off to Moe's."
36238,163,5,113000,Lenny Leonard,Springfield Nuclear Power Plant,"But Homer, it's ten in the morning."
36239,163,6,115000,Homer Simpson,Springfield Nuclear Power Plant,"Don't worry, I have a plan. I saw this in a movie about a bus that had to speed around a city, keeping its speed over fifty, and if its speed dropped, it would explode. I think it was called ""The Bus That Couldn't Slow Down."" First, I hook this common VCR into the security camera system like so..."
36240,163,7,137000,Homer Simpson,Springfield Nuclear Power Plant,"Then, I insert this old videotape of us working on a continuous loop..."
36241,163,8,157000,C. Montgomery Burns,Springfield Nuclear Power Plant,"So, another Friday is upon us. What'll you be doing, Smithers? Something gay, no doubt."
36242,163,9,163000,Waylon Smithers,Springfield Nuclear Power Plant,W-what?
36243,163,10,165000,C. Montgomery Burns,Springfield Nuclear Power Plant,"You know, lighthearted. Fancy free. ""Mothers lock up your daughters, Smithers is on the town!"""
36244,163,11,172000,Waylon Smithers,Springfield Nuclear Power Plant,"Exactly, sir."
36246,163,13,175000,Jasper Beardly,Springfield Retirement Castle,Thank God it's Wednesday.
36247,163,14,178000,Mrs. Glick,Springfield Retirement Castle,It's Friday.
36248,163,15,180000,Jasper Beardly,Springfield Retirement Castle,Uh-oh. Wrong pills.
36249,163,16,184000,Jasper Beardly,Springfield Retirement Castle,"Eh, little help."
36251,163,18,192000,Video Arcade Man,Noiseland Arcade,"Sorry, Donkey Kong. You're just not a draw anymore."
36252,163,19,198000,Video Arcade Man,Noiseland Arcade,"Hey, he's still got it."
36253,163,20,201000,Milhouse Van Houten,Noiseland Arcade,Thirty-eight... thirty-nine... forty quarters. This better be good.
